KEY_ID,KEY_NAME,KEY_DESCRIPTION,KEY_DIFFICULTY,KEY_CATEGORY,KEY_LENGTH,KEY_GOAL1,KEY_GOAL2,KEY_GOAL3,KEY_IMAGE
,בטן עליונה 1,"בשכיבה על הגב, רגליים מכופפות, ידיים משולבות מאחורי העורף. יש לנתק את פלג הגוף העליון מהמזרן עד 35 מעלות. שמור על ראש ישר בהמשך לעמוד השידרה. הוצאת אויר בעליה. 20 חזרות, 3 סטים.",קל מאוד,בטן,5,1,0,0,res/drawable/exercise1
,בטן עליונה 1,"בשכיבה על הגב, רגליים מכופפות, ידיים משולבות מאחורי העורף. יש לנתק את פלג הגוף העליון מהמזרן עד 35 מעלות. שמור על ראש ישר בהמשך לעמוד השידרה. הוצאת אויר בעליה. 25 חזרות, 3 סטים.",קל,בטן,5,0,1,0,res/drawable/exercise2
,בטן עליונה 1,"בשכיבה על הגב, רגליים מכופפות, ידיים משולבות מאחורי העורף. יש לנתק את פלג הגוף העליון מהמזרן עד 35 מעלות. שמור על ראש ישר בהמשך לעמוד השידרה. הוצאת אויר בעליה. 40 חזרות, 3 סטים.",בינוני,בטן,5,0,0,1,res/drawable/exercise3
,בטן עליונה 1,"בשכיבה על הגב, רגליים מכופפות, ידיים משולבות מאחורי העורף. יש לנתק את פלג הגוף העליון מהמזרן עד 35 מעלות. שמור על ראש ישר בהמשך לעמוד השידרה. הוצאת אויר בעליה. 30 חזרות, 4 סטים.",קשה,בטן,10,1,1,1,res/drawable/exercise4
,בטן עליונה 1,"בשכיבה על הגב, רגליים מכופפות, ידיים משולבות מאחורי העורף. יש לנתק את פלג הגוף העליון מהמזרן עד 35 מעלות. שמור על ראש ישר בהמשך לעמוד השידרה. הוצאת אויר בעליה. 50 חזרות, 4 סטים.",קשה מאוד,בטן,10,1,1,0,res/drawable/exercise5
,בטן תחתונה 1 ,"בשכיבה על הגב, רגליים ישרות באוויר, ידיים אוחזות במזרן בצידי הגוף. יש לנתק את הרגליים מהרצפה לעלות עד 80 מעלות ולרדת באיטיות בחזרה בלי לגעת בקרקע.15 חזרות, 2 סטים.",קל מאוד,בטן,5,0,1,1,res/drawable/exercise6
,בטן תחתונה 1 ,"בשכיבה על הגב, רגליים ישרות באוויר, ידיים אוחזות במזרן בצידי הגוף. יש לנתק את הרגליים מהרצפה לעלות עד 80 מעלות ולרדת באיטיות בחזרה בלי לגעת בקרקע.15 חזרות, 3 סטים.",קל,בטן,5,1,0,1,res/drawable/exercise7
,בטן תחתונה 1 ,"בשכיבה על הגב, רגליים ישרות באוויר, ידיים אוחזות במזרן בצידי הגוף. יש לנתק את הרגליים מהרצפה לעלות עד 80 מעלות ולרדת באיטיות בחזרה בלי לגעת בקרקע.25 חזרות, 3 סטים.",בינוני,בטן,5,1,0,0,res/drawable/exercise8
,בטן תחתונה 1 ,"בשכיבה על הגב, רגליים ישרות באוויר, ידיים אוחזות במזרן בצידי הגוף. יש לנתק את הרגליים מהרצפה לעלות עד 80 מעלות ולרדת באיטיות בחזרה בלי לגעת בקרקע.30 חזרות, 4 סטים.",קשה,בטן,10,0,1,0,res/drawable/exercise9
,בטן תחתונה 1 ,"בשכיבה על הגב, רגליים ישרות באוויר, ידיים אוחזות במזרן בצידי הגוף. יש לנתק את הרגליים מהרצפה לעלות עד 80 מעלות ולרדת באיטיות בחזרה בלי לגעת בקרקע.50 חזרות, 4 סטים.",קשה מאוד,בטן,10,0,0,1,res/drawable/exercise10
